"Status","Url","References","Note"
"0","https://www.resmigazete.gov.tr/eskiler/2014/09/20140930-4.htm","src\content\articles\yasa-gore-tup-bebek-basari-oranlari.md:47","The operation has timed out."
"0","https://www.sciencedirect.com/science/article/pii/S2666571922000081","src\content\articles\era-testi-iluzyon.mdx:82","İstek durduruldu: Bağlantı beklenmedik bir şekilde kapatıldı."
"403","https://academic.oup.com/hropen/article/2023/3/hoad023/7198324","src\content\articles\ivf-oncesi-histeroskopi.mdx:155",""
"403","https://academic.oup.com/humrep/article/38/11/2062/7281712","src\content\articles\ivf-oncesi-histeroskopi.mdx:112",""
"403","https://academic.oup.com/humrep/article/40/4/764/8045480","src\content\articles\over-prp.md:20",""
"403","https://doi.org/10.1093/humupd/dmy033","src\content\articles\taze-dondurulmus-transfer.md:99 | src\content\articles\taze-dondurulmus-transfer.md:99 | src\content\articles\taze-dondurulmus-transfer.md:111 | src\content\articles\taze-dondurulmus-transfer.md:111 | src\content\articles\taze-dondurulmus-transfer.md:115",""
"403","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5666234","src\content\articles\era-testi-iluzyon.mdx:48",""
"403","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002251.pub3/full","src\content\articles\yasa-gore-tup-bebek-basari-oranlari.md:42",""
"403","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012856.pub2/full","src\content\articles\ivf-oncesi-histeroskopi.mdx:104",""
"403","https://www.fertstert.org/article/S0015-0282(15","src\content\articles\yumurta-dondurma-rehberi.mdx:61",""
"403","https://www.mdpi.com/1648-9144/62/2/364","src\content\articles\embryoscope-yapay-zeka.md:341 | src\content\articles\embryoscope-yapay-zeka.md:341",""
"403","https://www.mdpi.com/2077-0383/14/9/2923#:~:text=A%20healthy%20genital%20microbial%20flora,bacteriocins%2C%20hydroxyl%20radicals%2C%20and%20probiotics","src\content\articles\vajinal-mikrobiyom-fiv.md:67",""
"403","https://www.mdpi.com/2077-0383/14/9/2923#:~:text=A%20healthy%20genital%20microbial%20flora,embryo%20implantation%20by%20producing%20lactic","src\content\articles\vajinal-mikrobiyom-fiv.md:73 | src\content\articles\vajinal-mikrobiyom-fiv.md:104",""
"403","https://www.mdpi.com/2077-0383/14/9/2923#:~:text=Bacterial%20vaginosis%20,percent%20of%20infertile%20patients%20undergoing","src\content\articles\vajinal-mikrobiyom-fiv.md:74 | src\content\articles\vajinal-mikrobiyom-fiv.md:102",""
"403","https://www.mdpi.com/2077-0383/14/9/2923#:~:text=specificity%20of%2093,52","src\content\articles\vajinal-mikrobiyom-fiv.md:80 | src\content\articles\vajinal-mikrobiyom-fiv.md:102 | src\content\articles\vajinal-mikrobiyom-fiv.md:120",""
"403","https://www.mdpi.com/2077-0383/14/9/2923#:~:text=The%20prevalence%20of%20bacterial%20vaginosis%2C,185","src\content\articles\vajinal-mikrobiyom-fiv.md:116",""
"403","https://www.mdpi.com/2077-0383/15/7/2482","src\content\articles\over-prp.md:24",""
"403","https://www.mdpi.com/2227-9059/13/10/2488","src\content\articles\over-prp.md:33",""
"403","https://www.mdpi.com/2227-9059/13/5/1257","src\content\articles\over-prp.md:38",""
"403","https://www.preprints.org/manuscript/202602.1850","src\content\articles\embryoscope-yapay-zeka.md:349 | src\content\articles\embryoscope-yapay-zeka.md:349",""
"403","https://www.researchgate.net/publication/374373884","src\content\articles\embryoscope-yapay-zeka.md:351 | src\content\articles\embryoscope-yapay-zeka.md:351",""
"403","https://www.tandfonline.com/doi/full/10.1080/09537104.2023.2292612","src\content\articles\over-prp.md:28",""
"403","https://www.tandfonline.com/doi/full/10.1080/14647273.2023.2288634","src\content\articles\endometriozis-akilli-stratejiler.md:96 | src\content\articles\endometriozis-akilli-stratejiler.md:144 | src\content\articles\endometriozis-akilli-stratejiler.md:155",""
"403","https://www.unimelb.edu.au/ivf/treatment","src\content\articles\era-testi-iluzyon.mdx:121",""
"404","https://pmc.ncbi.nlm.nih.gov/makaleler/PMC10694400/","src\content\articles\laboratuvar-raporu-yorumlama.mdx:80",""
"404","https://pmc.ncbi.nlm.nih.gov/makaleler/PMC9107540/","src\content\articles\endometriozis-akilli-stratejiler.md:83 | src\content\articles\endometriozis-akilli-stratejiler.md:93 | src\content\articles\endometriozis-akilli-stratejiler.md:111 | src\content\articles\endometriozis-akilli-stratejiler.md:142",""
"404","https://www.brighamandwomens.org/obgyn/infertility-reproductive-surgery/egg-freezing","src\content\articles\yumurta-dondurma-rehberi.mdx:61",""
"404","https://www.frontiersin.org/journals/endocrinology/makaleler/10.3389/fendo.2025.1492293/full","src\content\articles\endometriozis-tup-bebek.md:140",""
"404","https://www.frontiersin.org/journals/endocrinology/makaleler/10.3389/fendo.2025.1613334/full","src\content\articles\endometriozis-tup-bebek.md:185",""
"404","https://www.ncbi.nlm.nih.gov/pmc/makaleler/PMC12414060/","src\content\articles\endometriozis-akilli-stratejiler.md:67",""
