cluster,url,primary_keyword,secondary_keywords,search_intent,priority,baseline_date,gsc_index_request_status,next_check_2w,next_check_4w,gsc_clicks_28d,gsc_impressions_28d,gsc_avg_position,trend_status,next_action
Core IVF,https://tupbebek.com/basari-oranlari/,tüp bebek başarı oranları,"yaşa göre tüp bebek başarı oranı; tüp bebek tutma şansı; canlı doğum oranı",Commercial investigation,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track clicks/impressions and compare by age-intent queries"
Core IVF,https://tupbebek.com/makaleler/tup-bebek-nedir/,tüp bebek nedir,"ivf nedir; tüp bebek nasıl yapılır; tüp bebek kimlere uygulanır",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Watch top query split between definition and process intent"
Core IVF,https://tupbebek.com/makaleler/tup-bebek-sureci-rehber/,tüp bebek süreci,"tüp bebek aşamaları; tüp bebek kaç gün sürer; yumurta toplama transfer süreci",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Check whether process queries move to hub or article"
Core IVF,https://tupbebek.com/makaleler/yasa-gore-tup-bebek-basari-oranlari/,yaşa göre tüp bebek başarı oranları,"30 yaş tüp bebek başarı; 35 yaş tüp bebek; 40 yaş tüp bebek başarı",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Compare age modifiers and improve table snippets if flat"
Core IVF,https://tupbebek.com/makaleler/kac-yumurta-gerekir/,tüp bebekte kaç yumurta gerekir,"kaç yumurta yeterli; tüp bebekte yumurta sayısı; olgun yumurta kaç olmalı",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track PAA-style question queries"
Core IVF,https://tupbebek.com/makaleler/ivf-protokolleri/,ivf protokolleri,"antagonist protokol; uzun protokol; mini ivf; duostim",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Check protocol-specific query distribution"
Core IVF,https://tupbebek.com/makaleler/tup-bebek-yanlis-bilinenler/,tüp bebek yanlış bilinenler,"tüp bebek hakkında yanlışlar; tüp bebek efsaneleri; tüp bebek doğru bilinen yanlışlar",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"If impressions low, add internal links from FAQ pages"
Transfer,https://tupbebek.com/makaleler/embriyo-transferi-gun-secimi/,3 gün mü 5 gün embriyo transferi,"blastokist transferi; 3 gün embriyosu; 5 gün transfer",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Watch 3-day vs 5-day query variants"
Transfer,https://tupbebek.com/makaleler/embriyo-transferi-sonrasi-bakim/,embriyo transferi sonrası,"transfer sonrası yatmak gerekir mi; transfer sonrası kasık ağrısı; transfer sonrası kanama",Informational,High,2026-05-14,Submitted via hub,2026-05-28,2026-06-11,,,,,"If CTR low, tune title for care/what to do intent"
Transfer,https://tupbebek.com/makaleler/taze-dondurulmus-transfer/,dondurulmuş embriyo transferi,"taze transfer mi dondurulmuş transfer mi; fet nedir; freeze all",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track FET vs fresh comparison queries"
Transfer,https://tupbebek.com/makaleler/beta-hcg-testi/,beta hcg testi tüp bebek,"transfer sonrası beta hcg; beta hcg kaç olmalı; hcg doubling time",Informational,High,2026-05-14,GSC insight page flagged,2026-05-28,2026-06-11,,,,,"Review recent click drop separately in GSC"
Transfer,https://tupbebek.com/makaleler/kimyasal-gebelik/,kimyasal gebelik nedir,"kimyasal gebelik hcg; kimyasal gebelik belirtileri; tüp bebek kimyasal gebelik",Informational,High,2026-05-14,Submitted,2026-05-28,2026-06-11,,,,,"Track early-loss terms and add supportive internal links if needed"
Transfer,https://tupbebek.com/makaleler/era-testi-iluzyon/,era testi nedir,"era testi tüp bebek; endometriyal reseptivite testi; era testi gerekli mi",Informational,High,2026-05-14,Submitted,2026-05-28,2026-06-11,,,,,"Watch whether neutral title competes with promotional SERP"
Transfer,https://tupbebek.com/makaleler/embryoglue-faydalari/,embryoglue nedir,"embriyo yapıştırıcı; embryoglue faydaları; transfer medyumu",Informational,Medium,2026-05-14,Submitted via hub,2026-05-28,2026-06-11,,,,,"Check add-on query impressions"
Transfer,https://tupbebek.com/makaleler/endometriyal-scratching/,endometriyal scratching,"rahim çizme; endometrial scratching işe yarar mı; ivf add on",Informational,Medium,2026-05-14,Submitted via hub,2026-05-28,2026-06-11,,,,,"Track HFEA/add-on wording performance"
Lab and Embryology,https://tupbebek.com/makaleler/mikroenjeksiyon-icsi-nedir/,mikroenjeksiyon icsi nedir,"icsi nedir; mikroenjeksiyon ivf farkı; erkek faktörü icsi",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Check definition intent and male-factor intent separately"
Lab and Embryology,https://tupbebek.com/makaleler/laboratuvar-raporu-yorumlama/,embriyo kalite kodları,"4AA embriyo; 3BB embriyo; 5BC embriyo; blastosist kalitesi",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Watch exact-code query long tail"
Lab and Embryology,https://tupbebek.com/makaleler/embryoscope-yapay-zeka/,embryoscope nedir,"time lapse embriyo izleme; yapay zeka embriyo seçimi; embryo scope",Informational,High,2026-05-14,Submitted,2026-05-28,2026-06-11,,,,,"Review AI citation queries and add FAQ if PAA appears"
Lab and Embryology,https://tupbebek.com/makaleler/bagisiklik-tedavileri/,tüp bebek bağışıklık tedavileri,"intralipid tüp bebek; ivig tüp bebek; nk hücre testi",Informational,High,2026-05-14,Submitted via hub,2026-05-28,2026-06-11,,,,,"Track controversial add-on SERP volatility"
Female Infertility,https://tupbebek.com/makaleler/kadin-kisirligi-tup-bebek/,kadın kısırlığı tüp bebek,"kadın kısırlığı nedenleri; tüp bebek ne zaman gerekir; kadın infertilitesi",Informational,High,2026-05-14,Submitted via hub,2026-05-28,2026-06-11,,,,,"Compare hub vs article cannibalization"
Female Infertility,https://tupbebek.com/makaleler/adet-duzensizligi-pcos/,adet düzensizliği pcos,"pcos gebelik; pcos tüp bebek; polikistik over adet düzensizliği",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track PCOS modifiers and update hub links if needed"
Female Infertility,https://tupbebek.com/makaleler/dusuk-amh-hamilelik/,düşük amh hamilelik,"düşük amh ile hamile kalınır mı; amh düşük tüp bebek; yumurtalık rezervi",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Monitor high-anxiety query CTR"
Female Infertility,https://tupbebek.com/makaleler/endometriozis-tup-bebek/,endometriozis tüp bebek,"çikolata kisti tüp bebek; endometriozis ivf; endometriozis cerrahi mi ivf mi",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Compare with broader endometriosis page"
Female Infertility,https://tupbebek.com/makaleler/endometriozis-akilli-stratejiler/,endometriozis kısırlık,"endometriozis gebe kalmayı etkiler mi; endometrioma amh; endometriozis tedavi",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Watch overlap with endometriozis-tup-bebek"
Female Infertility,https://tupbebek.com/makaleler/endometrioma/,endometrioma ameliyat,"çikolata kisti ameliyat; endometrioma amh; endometrioma ivf",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track surgery decision intent"
Female Infertility,https://tupbebek.com/makaleler/hidrosalpinx-ve-kisirlik/,hidrosalpinx ivf,"hidrosalpinks nedir; tüpte sıvı birikimi; ivf öncesi hidrosalpinx",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track spelling variants hidrosalpinx/hidrosalpinks"
Female Infertility,https://tupbebek.com/makaleler/miyomlar-ve-tup-bebek/,miyom tüp bebek,"miyom transferi etkiler mi; tüp bebek öncesi miyom ameliyatı; submüköz miyom",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Watch surgical vs IVF intent split"
Female Infertility,https://tupbebek.com/makaleler/miyom-ameliyati/,miyom ameliyatı ne zaman gerekir,"gebelik için miyom ameliyatı; submüköz miyom ameliyatı; miyom ivf",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Check if title needs IVF modifier"
Female Infertility,https://tupbebek.com/makaleler/yumurtalik-kistleri-dogurganlik/,yumurtalık kisti doğurganlık,"yumurtalık kisti hamile kalmayı engeller mi; kist ivf; endometrioma dermoid",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Monitor broad cyst queries"
