date,query,device,country,language,ai_overview_present,ai_mode_source_present,tupbebek_cited,organic_position,target_url,observed_url,content_gap,notes
2026-06-01,"tüp bebek nedir",desktop,TR,tr,,,,,"/makaleler/tup-bebek-nedir/",,,
2026-06-01,"embriyo transferi sonrası",desktop,TR,tr,,,,,"/makaleler/embriyo-transferi-sonrasi-bakim/",,,
2026-06-01,"düşük amh ile hamile kalınır mı",desktop,TR,tr,,,,,"/makaleler/dusuk-amh-hamilelik/",,,
2026-06-01,"azospermi mikro tese",desktop,TR,tr,,,,,"/makaleler/azospermi-mikro-tese/",,,
2026-06-01,"pgt nedir",desktop,TR,tr,,,,,"/pgt-merkezi/",,,
2026-06-01,"tüp bebek başarı oranı yaşa göre",desktop,TR,tr,,,,,"/makaleler/yasa-gore-tup-bebek-basari-oranlari/",,,
2026-06-01,"endometriozis tüp bebek",desktop,TR,tr,,,,,"/makaleler/endometriozis-tup-bebek/",,,
2026-06-01,"embryoscope yapay zeka embriyo seçimi",desktop,TR,tr,,,,,"/makaleler/embryoscope-yapay-zeka/",,,
2026-06-01,"embriyo transferi 3 gün mü 5 gün mü",desktop,TR,tr,,,,,"/makaleler/embriyo-transferi-gun-secimi/",,,
2026-06-01,"hidrosalpinx tüp bebek",desktop,TR,tr,,,,,"/makaleler/hidrosalpinx-ve-kisirlik/",,,
